station_id;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;capacity;lat;long;DisttoCentre;labels;labelsPCA
1;78,0;79,0;79,0;80,0;79,0;70,0;39,0;13,0;17,0;20,0;26,0;28,0;34,0;35,0;37,0;36,0;31,0;37,0;40,0;42,0;53,0;59,0;67,0;73,0;30;41,39795199999957;2,180041999999974;1,47;4;0
2;50,0;52,0;51,0;50,0;50,0;44,0;27,0;13,0;12,0;16,0;14,0;19,0;25,0;33,0;38,0;42,0;40,0;31,0;26,0;27,0;33,0;38,0;46,0;47,0;27;41,39553000000053;2,177059999999987;1,11;1;4
3;61,0;62,0;62,0;62,0;61,0;62,0;53,0;29,0;15,0;13,0;18,0;23,0;41,0;51,0;54,0;58,0;66,0;69,0;72,0;68,0;61,0;60,0;61,0;64,0;27;41,39405500000044;2,1812990000000156;1,22;4;0
4;47,0;46,0;47,0;49,0;55,0;67,0;48,0;23,0;10,0;13,0;23,0;32,0;46,0;54,0;63,0;63,0;64,0;72,0;74,0;64,0;55,0;46,0;46,0;50,0;21;41,393479999999684;2,1815549999999697;1,2;4;0
5;63,0;63,0;62,0;61,0;62,0;59,0;48,0;24,0;21,0;26,0;29,0;28,0;29,0;32,0;37,0;40,0;49,0;67,0;78,0;69,0;69,0;70,0;69,0;64,0;39;41,39107499999962;2,1802230000000073;0,96;4;0
6;43,0;42,0;43,0;44,0;47,0;50,0;37,0;18,0;16,0;17,0;16,0;16,0;15,0;23,0;33,0;48,0;68,0;78,0;78,0;68,0;59,0;54,0;49,0;48,0;39;41,39134900000047;2,180609999999968;1,01;4;0
7;59,0;52,0;44,0;31,0;29,0;25,0;30,0;32,0;41,0;57,0;62,0;61,0;62,0;71,0;77,0;77,0;73,0;77,0;78,0;76,0;75,0;76,0;73,0;67,0;27;41,388856000000374;2,183250999999992;1,12;0;3
8;58,0;51,0;47,0;39,0;37,0;41,0;32,0;21,0;39,0;56,0;64,0;63,0;61,0;67,0;77,0;77,0;73,0;79,0;75,0;70,0;73,0;79,0;76,0;69,0;27;41,38908799999991;2,1835679999999873;1,15;0;3
9;61,0;53,0;49,0;50,0;54,0;57,0;34,0;28,0;35,0;48,0;59,0;70,0;60,0;61,0;70,0;71,0;80,0;87,0;87,0;84,0;81,0;80,0;79,0;71,0;27;41,38453200000003;2,184921000000016;1,27;0;3
11;48,0;44,0;29,0;24,0;22,0;39,0;74,0;79,0;89,0;91,0;88,0;84,0;80,0;79,0;79,0;76,0;81,0;85,0;75,0;59,0;54,0;57,0;53,0;51,0;21;41,38168900000057;2,1939139999999697;2,08;0;3
